"tempo" "com" "a" "b" "status"
"1156092393" "CONN" "1" "1027" "up"
"1156092412" "CONN" "1" "1027" "down"
"1156093100" "CONN" "1" "1027" "up"
"1156093100" "CONN" "1" "1027" "down"
"1156093183" "CONN" "1" "1027" "up"
"1156093183" "CONN" "1" "1027" "down"
"1156093208" "CONN" "1" "1027" "up"
"1156093208" "CONN" "1" "1027" "down"
"1156093313" "CONN" "1" "1027" "up"
"1156093313" "CONN" "1" "1027" "down"
"1156086981" "CONN" "1" "1030" "up"
"1156086981" "CONN" "1" "1030" "down"
"1156093183" "CONN" "1" "1038" "up"
"1156093183" "CONN" "1" "1038" "down"
"1156086646" "CONN" "1" "104" "up"
"1156086664" "CONN" "1" "104" "down"
"1156085247" "CONN" "1" "1041" "up"
"1156085247" "CONN" "1" "1041" "down"
"1156088261" "CONN" "1" "1046" "up"
"1156088261" "CONN" "1" "1046" "down"
"1156093505" "CONN" "1" "1046" "up"
"1156093505" "CONN" "1" "1046" "down"
"1156093859" "CONN" "1" "1046" "up"
"1156093859" "CONN" "1" "1046" "down"
"1156085315" "CONN" "1" "1048" "up"
"1156085315" "CONN" "1" "1048" "down"
"1156086797" "CONN" "1" "105" "up"
"1156086797" "CONN" "1" "105" "down"
"1156085726" "CONN" "1" "1052" "up"
"1156085737" "CONN" "1" "1052" "down"
"1156092169" "CONN" "1" "1054" "up"
"1156092169" "CONN" "1" "1054" "down"
"1156090407" "CONN" "1" "1056" "up"
"1156090407" "CONN" "1" "1056" "down"
"1156090437" "CONN" "1" "1056" "up"
"1156090437" "CONN" "1" "1056" "down"
"1156087909" "CONN" "1" "1058" "up"
"1156087923" "CONN" "1" "1058" "down"
"1156087943" "CONN" "1" "1058" "up"
"1156087943" "CONN" "1" "1058" "down"
"1156087955" "CONN" "1" "1058" "up"
"1156087955" "CONN" "1" "1058" "down"
"1156087973" "CONN" "1" "1058" "up"
"1156088068" "CONN" "1" "1058" "down"
"1156088181" "CONN" "1" "1058" "up"
"1156088181" "CONN" "1" "1058" "down"
"1156088306" "CONN" "1" "1058" "up"
"1156088306" "CONN" "1" "1058" "down"
"1156088961" "CONN" "1" "1058" "up"
"1156088961" "CONN" "1" "1058" "down"
"1156091406" "CONN" "1" "1058" "up"
"1156091406" "CONN" "1" "1058" "down"
"1156091455" "CONN" "1" "1058" "up"
"1156091455" "CONN" "1" "1058" "down"
"1156093234" "CONN" "1" "1058" "up"
"1156093234" "CONN" "1" "1058" "down"
"1156093252" "CONN" "1" "1058" "up"
"1156093252" "CONN" "1" "1058" "down"
"1156093266" "CONN" "1" "1058" "up"
"1156093268" "CONN" "1" "1058" "down"
"1156093327" "CONN" "1" "1058" "up"
"1156093327" "CONN" "1" "1058" "down"
"1156093353" "CONN" "1" "1058" "up"
"1156093353" "CONN" "1" "1058" "down"
"1156085247" "CONN" "1" "1065" "up"
"1156085247" "CONN" "1" "1065" "down"
"1156091974" "CONN" "1" "1066" "up"
"1156091974" "CONN" "1" "1066" "down"
"1156087477" "CONN" "1" "1070" "up"
"1156087477" "CONN" "1" "1070" "down"
"1156087544" "CONN" "1" "1070" "up"
"1156087544" "CONN" "1" "1070" "down"
"1156088369" "CONN" "1" "1070" "up"
"1156088369" "CONN" "1" "1070" "down"
"1156088403" "CONN" "1" "1070" "up"
"1156088416" "CONN" "1" "1070" "down"
"1156088525" "CONN" "1" "1070" "up"
"1156088525" "CONN" "1" "1070" "down"
"1156088716" "CONN" "1" "1070" "up"
"1156088744" "CONN" "1" "1070" "down"
"1156088796" "CONN" "1" "1070" "up"
"1156088796" "CONN" "1" "1070" "down"
"1156088916" "CONN" "1" "1070" "up"
"1156088934" "CONN" "1" "1070" "down"
"1156088961" "CONN" "1" "1070" "up"
"1156088961" "CONN" "1" "1070" "down"
"1156089087" "CONN" "1" "1070" "up"
"1156089087" "CONN" "1" "1070" "down"
"1156089475" "CONN" "1" "1070" "up"
"1156089475" "CONN" "1" "1070" "down"
"1156090424" "CONN" "1" "1070" "up"
"1156090424" "CONN" "1" "1070" "down"
"1156091506" "CONN" "1" "1070" "up"
"1156091506" "CONN" "1" "1070" "down"
"1156093067" "CONN" "1" "1070" "up"
"1156093132" "CONN" "1" "1070" "down"
"1156093194" "CONN" "1" "1070" "up"
