"a" "b" "tempo"
"1" "1030" 0
"1" "1038" 0
"1" "1041" 0
"1" "1046" 0
"1" "1048" 0
"1" "1052" 11000
"1" "1054" 0
"1" "1056" 0
"1" "1058" 111000
"1" "1065" 0
"1" "1066" 0
"1" "1070" 124000
"1" "1072" 0
"1" "1074" 318000
"1" "1075" 0
"1" "1081" 174000
"1" "1083" 12000
"1" "1084" 0
"1" "1092" 212000
"1" "1095" 0
"1" "1103" 0
"1" "1107" 0
"1" "1109" 116000
"1" "1110" 0
"2" "3" 96000
"2" "4" 18000
"2" "5" 375000
"2" "6" 2034000
"2" "7" 52000
"2" "8" 226000
"2" "9" 950000
"2" "10" 33000
"2" "11" 376000
"2" "12" 332000
"2" "13" 228000
"2" "14" 1721000
"2" "15" 184000
"2" "16" 350000
"2" "17" 137000
"2" "18" 34000
"2" "19" 455000
"2" "20" 197000
"2" "21" 2266000
"2" "22" 37000
"2" "23" 33000
"2" "24" 12000
"2" "25" 348000
"2" "26" 453000
"2" "27" 0
"2" "28" 66000
"2" "29" 67000
"2" "30" 46000
"2" "31" 41000
"2" "32" 0
"2" "33" 345000
"2" "34" 203000
"2" "35" 41000
"2" "36" 38000
"2" "37" 145000
"2" "38" 84000
"2" "39" 429000
"2" "40" 107000
"2" "41" 13000
"2" "42" 0
"2" "43" 110000
"2" "44" 25000
"2" "45" 111000
"2" "46" 257000
"2" "47" 0
"2" "48" 74000
"2" "49" 88000
"2" "50" 260000
"2" "51" 194000
"2" "52" 310000
"2" "53" 370000
"2" "54" 386000
"2" "55" 309000
"2" "56" 256000
"2" "57" 1000
"2" "58" 289000
"2" "59" 363000
"2" "60" 143000
"2" "61" 153000
"2" "62" 12000
"2" "70" 486000
"2" "73" 0
"2" "81" 0
"2" "83" 0
"2" "85" 84000
"2" "88" 328000
"2" "90" 0
"2" "95" 571000
"2" "98" 0
"2" "102" 0
"2" "105" 0
"2" "108" 15000
"2" "114" 32000
"2" "115" 0
"2" "119" 11000
"2" "120" 140000
"2" "121" 28000
"2" "135" 0
"2" "136" 0
"2" "139" 0
"2" "142" 0
"2" "149" 0
"2" "150" 71000
"2" "151" 234000
"2" "153" 42000
"2" "157" 65000
"2" "158" 0
"2" "159" 0
"2" "160" 0
"2" "161" 0
"2" "166" 0
"2" "176" 0
"2" "181" 0
"2" "190" 0
"2" "192" 0
"2" "194" 0
"2" "196" 0
"2" "199" 0
"2" "211" 0
"2" "212" 0
"2" "213" 0
"2" "214" 0
"2" "222" 0
"2" "225" 0
"2" "230" 0
"2" "239" 0
"2" "262" 0
"2" "267" 0
"2" "272" 0
"2" "278" 0
"2" "284" 0
"2" "287" 0
"2" "290" 0
"2" "292" 0
"2" "294" 56000
"2" "297" 0
"2" "306" 211000
"2" "307" 0
"2" "309" 0
"2" "311" 0
"2" "318" 0
"2" "321" 0
"2" "322" 0
"2" "323" 60000
"2" "325" 0
"2" "333" 0
"2" "335" 0
"2" "336" 0
"2" "337" 251000
"2" "338" 573000
"2" "344" 0
"2" "345" 43000
"2" "348" 0
"2" "351" 0
"2" "353" 14000
"2" "356" 0
"2" "358" 0
"2" "362" 0
"2" "363" 34000
"2" "365" 0
"2" "367" 0
"2" "374" 0
"2" "375" 250000
"2" "377" 150000
"2" "379" 16000
"2" "381" 0
"2" "384" 12000
"2" "395" 14000
"2" "396" 239000
"2" "401" 185000
"2" "408" 13000
"2" "410" 61000
"2" "411" 0
"2" "422" 19000
"2" "423" 0
"2" "424" 0
"2" "427" 47000
"2" "428" 0
"2" "429" 0
"2" "433" 149000
"2" "434" 0
"2" "436" 415000
"2" "437" 487000
"2" "439" 58000
"2" "445" 12000
"2" "446" 16000
"2" "455" 0
"2" "460" 188000
"2" "463" 411000
"2" "464" 0
"2" "465" 0
"2" "469" 0
"2" "471" 0
"2" "472" 47000
"2" "473" 0
"2" "475" 0
"2" "476" 0
"2" "480" 0
"2" "486" 0
"2" "492" 0
"2" "500" 0
"2" "501" 0
"2" "505" 0
"2" "506" 0
"2" "507" 0
"2" "509" 12000
"2" "519" 0
"2" "522" 0
"2" "524" 0
"2" "526" 0
"2" "530" 0
"2" "534" 69000
"2" "540" 7000
"2" "542" 0
"2" "548" 1444000
"2" "550" 0
"2" "553" 0
"2" "556" 0
"2" "557" 141000
"2" "574" 130000
"2" "575" 1266000
"2" "581" 0
"2" "585" 142000
"2" "589" 0
