Nº de nós: 1112
Total Geral Contatos: 132510
Total Tipo Contato (A -> B): 15767
Total Tempo Contato: 1033288
Total Tempo Inter Contato: 30776014
Total Contatos(tempo = 0): 94106
Total Conexões(tempo > 0): 38404
Grau Geral: 15767
Grau Medio: 28.3579136690647
Densidade: 0.0127623373848176
Media Nº Contatos: 8.40426206634109
Media Tempo de Contatos: 65.5348512716433
Media Tempo Inter Contatos: 1951.92579438067
 
"a" "b" "num_contatos" "tempo_contatos" "inter_contatos" "media_tcontatos" "media_intercon" "porc_contatos" "porc_tempo_cont" "porc_inter_cont" "porc_media_tcont" "porc_media_tinter"
"1" "2" 74 446 7095 6.02702702702703 97.1917808219178 0.000558448418987246 0.000431631839332306 0.000230536677036864 8.77256770585472e-05 3.31335389107701e-05
"1" "3" 61 370 7743 6.0655737704918 129.05 0.000460342615651649 0.000358080225455052 0.000251592035277863 8.82867396112263e-05 4.39942879971454e-05
"1" "4" 33 283 5949 8.57575757575758 185.90625 0.000249037808467285 0.000273882983253459 0.000193299886073616 0.000124823422269337 6.33770871985224e-05
"1" "5" 50 278 7510 5.56 153.265306122449 0.00037733001282922 0.00026904406128785 0.000244021204305405 8.09279205582257e-05 5.22495003294977e-05
"1" "6" 40 214 7174 5.35 183.948717948718 0.000301864010263376 0.000207105860128057 0.000233103611143405 7.78712904651992e-05 6.27097471843593e-05
"1" "7" 45 217 8256 4.82222222222222 187.636363636364 0.000339597011546298 0.000210009213307423 0.000268260860551987 7.01892836176458e-05 6.39668982607926e-05
"1" "8" 24 155 7808 6.45833333333333 339.478260869565 0.000181118406158026 0.000150006580933873 0.000253704069669321 9.40035048450613e-05 0.000115731145892799
"1" "9" 99 575 7397 5.80808080808081 75.4795918367347 0.000747113425401856 0.000556476026045014 0.000240349513747947 8.4538831336712e-05 2.57316613806454e-05
"1" "10" 37 325 5212 8.78378378378378 144.777777777778 0.000279224209493623 0.000314529927764573 0.000169352665358158 0.000127851323067389 4.93560267426755e-05
"1" "11" 41 129 8358 3.14634146341463 208.95 0.000309410610519961 0.000124844186712707 0.000271575129904737 4.57962000000488e-05 7.12329056722474e-05
"1" "12" 36 206 8316 5.72222222222222 237.6 0.000271677609237039 0.000199363584983083 0.000270210430759487 8.32891268734737e-05 8.0999944425585e-05
"1" "13" 37 143 7192 3.86486486486486 199.777777777778 0.000279224209493623 0.000138393168216412 0.000233688482205655 5.62545821496513e-05 6.81060138782276e-05
"1" "14" 45 364 7391 8.08888888888889 167.977272727273 0.000339597011546298 0.000352273519096322 0.000240154556727197 0.000117736862842503 5.7264940049118e-05
"1" "15" 42 176 8468 4.19047619047619 206.536585365854 0.000316957210776545 0.00017033005318943 0.00027514934195182 6.09939791805744e-05 7.04101512478293e-05
"1" "16" 54 356 7108 6.59259259259259 134.11320754717 0.000407516413855558 0.000344531243951348 0.000230959083915155 9.59576995694389e-05 4.57203802948557e-05
"1" "17" 21 25 7239 1.19047619047619 361.95 0.000158478605388273 2.41946098280441e-05 0.000235215645534864 1.73278349944813e-05 0.000123391960794783
"1" "18" 9 76 8784 8.44444444444444 1098 6.79194023092597e-05 7.3551613877254e-05 0.000285417078377986 0.000122912109560854 0.000374317924997022
"1" "19" 15 55 5852 3.66666666666667 418 0.000113199003848766 5.3228141621697e-05 0.000190148080904824 5.33697317830026e-05 0.000142499902230196
"1" "20" 33 141 5478 4.27272727272727 171.1875 0.000249037808467285 0.000136457599430169 0.000177995759944741 6.21911750529203e-05 5.83593349594059e-05
"1" "21" 53 567 7216 10.6981132075472 138.769230769231 0.000399969813598974 0.000548733750900039 0.000234468310288655 0.000155715117946634 4.73076598497007e-05
"1" "22" 20 60 5184 3 272.842105263158 0.000150932005131688 5.80670635873058e-05 0.000168442865927992 4.3666144186093e-05 9.30142902494756e-05
"1" "23" 31 116 3007 3.74193548387097 100.233333333333 0.000233944607954117 0.000112262989602124 9.77059602325369e-05 5.44652981245891e-05 3.41704311009728e-05
"1" "24" 9 39 5168 4.33333333333333 646 6.79194023092597e-05 3.77435913317487e-05 0.000167922980539325 6.30733193799121e-05 0.000220227121628485
"1" "25" 161 2570 5364 15.9627329192547 33.525 0.00121500264131009 0.00248720589032293 0.000174291576550492 0.000232343665752089 1.14289694312615e-05
"1" "26" 32 62 6532 1.9375 210.709677419355 0.000241491208210701 6.00026323735493e-05 0.000212243209923156 2.82010514535184e-05 7.18327952899861e-05
"1" "27" 11 61 3378 5.54545454545455 337.8 8.30126028224285e-05 5.90348479804275e-05 0.000109760802682245 8.07162059197477e-05 0.000115159011897991
"1" "28" 9 12 575 1.33333333333333 71.875 6.79194023092597e-05 1.16134127174612e-05 1.86833811552074e-05 1.94071751938191e-05 2.45028240975965e-05
"1" "29" 13 18 8005 1.38461538461538 667.083333333333 9.81058033355973e-05 1.74201190761917e-05 0.000260105158517279 2.0153605008966e-05 0.000227414616697113
