"a" "b" "contagem"
"1" "1081" 12
"1" "1083" 3
"1" "1084" 1
"1" "1092" 20
"1" "1095" 1
"1" "1103" 1
"1" "1107" 1
"1" "1109" 3
"1" "1110" 1
"2" "3" 39
"2" "4" 16
"2" "5" 48
"2" "6" 156
"2" "7" 25
"2" "8" 67
"2" "9" 72
"2" "10" 20
"2" "11" 62
"2" "12" 67
"2" "13" 49
"2" "14" 180
"2" "15" 19
"2" "16" 53
"2" "17" 31
"2" "18" 10
"2" "19" 41
"2" "20" 33
"2" "21" 162
"2" "22" 11
"2" "23" 22
"2" "24" 1
"2" "25" 50
"2" "26" 45
"2" "27" 5
"2" "28" 6
"2" "29" 19
"2" "30" 22
"2" "31" 6
"2" "32" 7
"2" "33" 48
"2" "34" 34
"2" "35" 24
"2" "36" 13
"2" "37" 27
"2" "38" 24
"2" "39" 67
"2" "40" 23
"2" "41" 7
"2" "42" 9
"2" "43" 35
"2" "44" 17
"2" "45" 31
"2" "46" 27
"2" "47" 9
"2" "48" 19
"2" "49" 14
"2" "50" 25
"2" "51" 58
"2" "52" 52
"2" "53" 6
"2" "54" 80
"2" "55" 55
"2" "56" 46
"2" "57" 7
"2" "58" 56
"2" "59" 55
"2" "60" 42
"2" "61" 33
"2" "62" 3
"2" "70" 45
"2" "73" 1
"2" "81" 1
"2" "83" 1
"2" "85" 3
"2" "88" 15
"2" "90" 2
"2" "95" 39
"2" "98" 1
"2" "102" 1
"2" "105" 1
"2" "108" 4
"2" "114" 5
"2" "115" 1
"2" "119" 1
"2" "120" 17
"2" "121" 9
"2" "135" 1
"2" "136" 1
"2" "139" 1
"2" "142" 1
"2" "149" 1
"2" "150" 4
"2" "151" 33
"2" "153" 21
"2" "157" 15
"2" "158" 1
"2" "159" 2
"2" "160" 1
"2" "161" 1
"2" "166" 1
"2" "176" 1
"2" "181" 1
"2" "190" 1
"2" "192" 1
"2" "194" 1
"2" "196" 1
"2" "199" 1
"2" "211" 1
"2" "212" 1
"2" "213" 1
"2" "214" 1
"2" "222" 1
"2" "225" 1
"2" "230" 1
"2" "239" 1
"2" "262" 1
"2" "267" 1
"2" "272" 1
"2" "278" 1
"2" "284" 1
"2" "287" 1
"2" "290" 1
"2" "292" 1
"2" "294" 10
"2" "297" 1
"2" "306" 23
"2" "307" 1
"2" "309" 1
"2" "311" 1
"2" "318" 1
"2" "321" 1
"2" "322" 1
"2" "323" 1
"2" "325" 1
"2" "333" 1
"2" "335" 1
"2" "336" 1
"2" "337" 25
"2" "338" 28
"2" "344" 1
"2" "345" 3
"2" "348" 1
"2" "351" 1
"2" "353" 3
"2" "356" 1
"2" "358" 1
"2" "362" 1
"2" "363" 6
"2" "365" 1
"2" "367" 1
"2" "374" 1
"2" "375" 15
"2" "377" 8
"2" "379" 1
"2" "381" 1
"2" "384" 1
"2" "395" 1
"2" "396" 8
"2" "401" 15
"2" "408" 6
"2" "410" 9
"2" "411" 1
"2" "422" 1
"2" "423" 1
"2" "424" 1
"2" "427" 11
"2" "428" 1
"2" "429" 1
"2" "433" 22
"2" "434" 1
"2" "436" 43
"2" "437" 36
"2" "439" 9
"2" "445" 1
"2" "446" 2
"2" "455" 1
"2" "460" 19
"2" "463" 23
"2" "464" 1
"2" "465" 1
"2" "469" 1
"2" "471" 1
"2" "472" 6
"2" "473" 1
"2" "475" 1
"2" "476" 1
"2" "480" 1
"2" "486" 1
"2" "492" 1
"2" "500" 1
"2" "501" 3
"2" "505" 1
"2" "506" 1
"2" "507" 1
"2" "509" 1
"2" "519" 1
"2" "522" 1
"2" "524" 1
"2" "526" 1
"2" "530" 1
"2" "534" 6
"2" "540" 5
"2" "542" 1
"2" "548" 51
"2" "550" 1
"2" "553" 1
"2" "556" 2
"2" "557" 10
"2" "574" 9
"2" "575" 55
"2" "581" 1
"2" "585" 15
"2" "589" 1
"2" "592" 1
"2" "601" 1
"2" "603" 1
"2" "606" 1
"2" "611" 9
"2" "615" 1
"2" "616" 1
"2" "624" 1
"2" "631" 1
"2" "637" 2
"2" "638" 1
"2" "639" 1
"2" "641" 1
"2" "642" 1
"2" "644" 1
"2" "651" 1
"2" "652" 1
"2" "654" 1
"2" "658" 1
"2" "660" 1
"2" "662" 1
"2" "668" 1
"2" "674" 1
"2" "675" 1
"2" "682" 2
"2" "683" 1
"2" "687" 1
"2" "690" 1
"2" "691" 1
"2" "703" 1
"2" "712" 1
"2" "713" 1
"2" "715" 1
"2" "720" 1
"2" "723" 1
"2" "727" 1
"2" "728" 1
"2" "735" 1
"2" "736" 1
"2" "737" 1
"2" "738" 1
"2" "739" 1
"2" "743" 1
"2" "744" 1
"2" "745" 1
"2" "752" 1
"2" "754" 1
"2" "755" 1
"2" "756" 1
"2" "758" 1
"2" "762" 1
"2" "763" 1
"2" "764" 1
"2" "771" 1
"2" "772" 1
"2" "779" 2
"2" "792" 1
"2" "796" 1
"2" "802" 48
"2" "808" 2
"2" "809" 1
"2" "813" 14
