"a" "b" "tinicio" "tfinal" "tcontato"
"1" "5" 3857000 3883000 26000
"1" "5" 3920000 3920000 0
"1" "5" 4782000 4782000 0
"1" "5" 5049000 5049000 0
"1" "5" 5081000 5081000 0
"1" "5" 5114000 5132000 18000
"1" "5" 5154000 5154000 0
"1" "5" 5176000 5197000 21000
"1" "5" 5202000 5202000 0
"1" "5" 5376000 5376000 0
"1" "5" 5430000 5465000 35000
"1" "5" 5499000 5507000 8000
"1" "5" 5575000 5598000 23000
"1" "5" 5654000 5654000 0
"1" "5" 5692000 5692000 0
"1" "5" 5723000 5723000 0
"1" "5" 5736000 5736000 0
"1" "5" 5768000 5768000 0
"1" "5" 5813000 5847000 34000
"1" "5" 5906000 5906000 0
"1" "5" 6299000 6339000 40000
"1" "5" 6376000 6376000 0
"1" "5" 6414000 6414000 0
"1" "5" 6507000 6507000 0
"1" "5" 7680000 7680000 0
"1" "5" 7851000 7851000 0
"1" "5" 7852000 7852000 0
"1" "5" 7890000 7890000 0
"1" "5" 7905000 7905000 0
"1" "5" 8387000 8387000 0
"1" "5" 8481000 8481000 0
"1" "5" 8550000 8550000 0
"1" "5" 8563000 8563000 0
"1" "5" 8805000 8805000 0
"1" "5" 8819000 8819000 0
"1" "6" 1160000 1163000 3000
"1" "6" 1228000 1228000 0
"1" "6" 1337000 1337000 0
"1" "6" 1371000 1400000 29000
"1" "6" 1432000 1432000 0
"1" "6" 1440000 1440000 0
"1" "6" 1493000 1493000 0
"1" "6" 1578000 1581000 3000
"1" "6" 1599000 1599000 0
"1" "6" 1617000 1617000 0
"1" "6" 1621000 1621000 0
"1" "6" 1657000 1673000 16000
"1" "6" 1677000 1694000 17000
"1" "6" 1720000 1733000 13000
"1" "6" 1740000 1740000 0
"1" "6" 1787000 1787000 0
"1" "6" 1799000 1813000 14000
"1" "6" 1856000 1856000 0
"1" "6" 1886000 1886000 0
"1" "6" 1892000 1892000 0
"1" "6" 1949000 1949000 0
"1" "6" 2071000 2071000 0
"1" "6" 2124000 2124000 0
"1" "6" 2164000 2164000 0
"1" "6" 2196000 2196000 0
"1" "6" 2197000 2197000 0
"1" "6" 2417000 2417000 0
"1" "6" 2561000 2561000 0
"1" "6" 2891000 2891000 0
"1" "6" 2933000 2984000 51000
"1" "6" 3007000 3007000 0
"1" "6" 3013000 3018000 5000
"1" "6" 3158000 3158000 0
"1" "6" 3693000 3737000 44000
"1" "6" 5719000 5719000 0
"1" "6" 5762000 5762000 0
"1" "6" 7677000 7677000 0
"1" "6" 7890000 7909000 19000
"1" "6" 7940000 7940000 0
"1" "6" 8548000 8548000 0
