"a" "b" "tempo"
"1" "894" 0
"1" "911" 0
"1" "918" 0
"1" "920" 264954.545454545
"1" "926" 401850
"1" "928" 0
"1" "934" 0
"1" "940" 0
"1" "941" 0
"1" "943" 0
"1" "945" 0
"1" "950" 0
"1" "952" 0
"1" "958" 0
"1" "960" 0
"1" "970" 0
"1" "971" 0
"1" "974" 0
"1" "975" 0
"1" "979" 0
"1" "980" 0
"1" "984" 0
"1" "986" 0
"1" "987" 294666.666666667
"1" "992" 0
"1" "993" 0
"1" "994" 0
"1" "996" 40000
"1" "999" 0
"1" "1002" 0
"1" "1003" 750250
"1" "1004" 14000
"1" "1017" 17000
"1" "1027" 315846.153846154
"1" "1030" 0
"1" "1038" 0
"1" "1041" 0
"1" "1046" 2799000
"1" "1048" 0
"1" "1052" 0
"1" "1054" 0
"1" "1056" 30000
"1" "1058" 410230.769230769
"1" "1065" 0
"1" "1066" 0
"1" "1070" 399500
"1" "1072" 30000
"1" "1074" 241157.894736842
"1" "1075" 0
"1" "1081" 528545.454545455
"1" "1083" 2834000
"1" "1084" 0
"1" "1092" 418894.736842105
"1" "1095" 0
"1" "1103" 0
"1" "1107" 0
"1" "1109" 2840500
"1" "1110" 0
"2" "3" 222473.684210526
"2" "4" 420000
"2" "5" 161702.127659574
"2" "6" 45993.5483870968
"2" "7" 219583.333333333
"2" "8" 131242.424242424
"2" "9" 106957.746478873
"2" "10" 117315.789473684
"2" "11" 126278.68852459
"2" "12" 123954.545454545
"2" "13" 173250
"2" "14" 41608.938547486
"2" "15" 390944.444444444
"2" "16" 148519.230769231
"2" "17" 277233.333333333
"2" "18" 574333.333333333
"2" "19" 150150
"2" "20" 277718.75
"2" "21" 42372.6708074534
"2" "22" 354700
"2" "23" 134571.428571429
"2" "24" 0
"2" "25" 174755.102040816
"2" "26" 152068.181818182
"2" "27" 118500
"2" "28" 662400
"2" "29" 490055.555555556
"2" "30" 330523.80952381
"2" "31" 185600
"2" "32" 934166.666666667
"2" "33" 181468.085106383
"2" "34" 258212.121212121
"2" "35" 371826.086956522
"2" "36" 564083.333333333
"2" "37" 282115.384615385
"2" "38" 330217.391304348
"2" "39" 129242.424242424
"2" "40" 249863.636363636
"2" "41" 1166333.33333333
"2" "42" 491375
