"tempo" "com" "a" "b" "status"
"8773000" "CONN" "1" "1027" "down"
"8878000" "CONN" "1" "1027" "up"
"8878000" "CONN" "1" "1027" "down"
"2546000" "CONN" "1" "1030" "up"
"2546000" "CONN" "1" "1030" "down"
"8748000" "CONN" "1" "1038" "up"
"8748000" "CONN" "1" "1038" "down"
"2211000" "CONN" "1" "104" "up"
"2229000" "CONN" "1" "104" "down"
"812000" "CONN" "1" "1041" "up"
"812000" "CONN" "1" "1041" "down"
"3826000" "CONN" "1" "1046" "up"
"3826000" "CONN" "1" "1046" "down"
"9070000" "CONN" "1" "1046" "up"
"9070000" "CONN" "1" "1046" "down"
"9424000" "CONN" "1" "1046" "up"
"9424000" "CONN" "1" "1046" "down"
"880000" "CONN" "1" "1048" "up"
"880000" "CONN" "1" "1048" "down"
"2362000" "CONN" "1" "105" "up"
"2362000" "CONN" "1" "105" "down"
"1291000" "CONN" "1" "1052" "up"
"1302000" "CONN" "1" "1052" "down"
"7734000" "CONN" "1" "1054" "up"
"7734000" "CONN" "1" "1054" "down"
"5972000" "CONN" "1" "1056" "up"
"5972000" "CONN" "1" "1056" "down"
"6002000" "CONN" "1" "1056" "up"
"6002000" "CONN" "1" "1056" "down"
"3474000" "CONN" "1" "1058" "up"
"3488000" "CONN" "1" "1058" "down"
"3508000" "CONN" "1" "1058" "up"
"3508000" "CONN" "1" "1058" "down"
"3520000" "CONN" "1" "1058" "up"
"3520000" "CONN" "1" "1058" "down"
"3538000" "CONN" "1" "1058" "up"
"3633000" "CONN" "1" "1058" "down"
"3746000" "CONN" "1" "1058" "up"
"3746000" "CONN" "1" "1058" "down"
"3871000" "CONN" "1" "1058" "up"
"3871000" "CONN" "1" "1058" "down"
"4526000" "CONN" "1" "1058" "up"
"4526000" "CONN" "1" "1058" "down"
"6971000" "CONN" "1" "1058" "up"
"6971000" "CONN" "1" "1058" "down"
"7020000" "CONN" "1" "1058" "up"
"7020000" "CONN" "1" "1058" "down"
"8799000" "CONN" "1" "1058" "up"
"8799000" "CONN" "1" "1058" "down"
"8817000" "CONN" "1" "1058" "up"
"8817000" "CONN" "1" "1058" "down"
"8831000" "CONN" "1" "1058" "up"
"8833000" "CONN" "1" "1058" "down"
"8892000" "CONN" "1" "1058" "up"
"8892000" "CONN" "1" "1058" "down"
"8918000" "CONN" "1" "1058" "up"
"8918000" "CONN" "1" "1058" "down"
"812000" "CONN" "1" "1065" "up"
"812000" "CONN" "1" "1065" "down"
"7539000" "CONN" "1" "1066" "up"
"7539000" "CONN" "1" "1066" "down"
"3042000" "CONN" "1" "1070" "up"
"3042000" "CONN" "1" "1070" "down"
"3109000" "CONN" "1" "1070" "up"
"3109000" "CONN" "1" "1070" "down"
"3934000" "CONN" "1" "1070" "up"
"3934000" "CONN" "1" "1070" "down"
"3968000" "CONN" "1" "1070" "up"
"3981000" "CONN" "1" "1070" "down"
"4090000" "CONN" "1" "1070" "up"
"4090000" "CONN" "1" "1070" "down"
"4281000" "CONN" "1" "1070" "up"
"4309000" "CONN" "1" "1070" "down"
"4361000" "CONN" "1" "1070" "up"
"4361000" "CONN" "1" "1070" "down"
"4481000" "CONN" "1" "1070" "up"
"4499000" "CONN" "1" "1070" "down"
"4526000" "CONN" "1" "1070" "up"
"4526000" "CONN" "1" "1070" "down"
"4652000" "CONN" "1" "1070" "up"
"4652000" "CONN" "1" "1070" "down"
"5040000" "CONN" "1" "1070" "up"
"5040000" "CONN" "1" "1070" "down"
"5989000" "CONN" "1" "1070" "up"
"5989000" "CONN" "1" "1070" "down"
"7071000" "CONN" "1" "1070" "up"
"7071000" "CONN" "1" "1070" "down"
"8632000" "CONN" "1" "1070" "up"
"8697000" "CONN" "1" "1070" "down"
"8759000" "CONN" "1" "1070" "up"
"8759000" "CONN" "1" "1070" "down"
"659000" "CONN" "1" "1072" "up"
"659000" "CONN" "1" "1072" "down"
"689000" "CONN" "1" "1072" "up"
"689000" "CONN" "1" "1072" "down"
"412000" "CONN" "1" "1074" "up"
"426000" "CONN" "1" "1074" "down"
"476000" "CONN" "1" "1074" "up"
"476000" "CONN" "1" "1074" "down"
"512000" "CONN" "1" "1074" "up"
"523000" "CONN" "1" "1074" "down"
"1357000" "CONN" "1" "1074" "up"
"1357000" "CONN" "1" "1074" "down"
"1400000" "CONN" "1" "1074" "up"
"1414000" "CONN" "1" "1074" "down"
"1695000" "CONN" "1" "1074" "up"
"1695000" "CONN" "1" "1074" "down"
"1730000" "CONN" "1" "1074" "up"
"1757000" "CONN" "1" "1074" "down"
"2324000" "CONN" "1" "1074" "up"
"2342000" "CONN" "1" "1074" "down"
"2421000" "CONN" "1" "1074" "up"
"2463000" "CONN" "1" "1074" "down"
"2483000" "CONN" "1" "1074" "up"
"2483000" "CONN" "1" "1074" "down"
"2559000" "CONN" "1" "1074" "up"
"2559000" "CONN" "1" "1074" "down"
"2614000" "CONN" "1" "1074" "up"
"2614000" "CONN" "1" "1074" "down"
"2670000" "CONN" "1" "1074" "up"
"2674000" "CONN" "1" "1074" "down"
"3520000" "CONN" "1" "1074" "up"
"3520000" "CONN" "1" "1074" "down"
"3684000" "CONN" "1" "1074" "up"
"3684000" "CONN" "1" "1074" "down"
"4700000" "CONN" "1" "1074" "up"
"4700000" "CONN" "1" "1074" "down"
"4897000" "CONN" "1" "1074" "up"
"5040000" "CONN" "1" "1074" "down"
"5150000" "CONN" "1" "1074" "up"
"5180000" "CONN" "1" "1074" "down"
"5188000" "CONN" "1" "1074" "up"
"5203000" "CONN" "1" "1074" "down"
"5312000" "CONN" "1" "1074" "up"
"5312000" "CONN" "1" "1074" "down"
"4850000" "CONN" "1" "1075" "up"
"4850000" "CONN" "1" "1075" "down"
"2377000" "CONN" "1" "108" "up"
"2377000" "CONN" "1" "108" "down"
"2404000" "CONN" "1" "108" "up"
"2404000" "CONN" "1" "108" "down"
"2436000" "CONN" "1" "108" "up"
"2449000" "CONN" "1" "108" "down"
"2483000" "CONN" "1" "108" "up"
"2483000" "CONN" "1" "108" "down"
"2516000" "CONN" "1" "108" "up"
"2516000" "CONN" "1" "108" "down"
"2544000" "CONN" "1" "108" "up"
"2544000" "CONN" "1" "108" "down"
