1	2	1156084891	1156084891	1	0
1	2	1156085092	1156085092	2	201
1	2	1156085110	1156085110	3	18
1	2	1156085190	1156085190	4	80
1	2	1156085219	1156085219	5	29
1	2	1156085234	1156085255	6	15
1	2	1156085288	1156085288	7	33
1	2	1156085315	1156085349	8	27
1	2	1156085381	1156085381	9	32
1	2	1156085418	1156085457	10	37
1	2	1156085501	1156085501	11	44
1	2	1156085517	1156085517	12	16
1	2	1156085518	1156085518	13	1
1	2	1156085552	1156085552	14	34
1	2	1156085594	1156085594	15	42
1	2	1156085608	1156085608	16	14
1	2	1156085640	1156085656	17	32
1	2	1156085673	1156085673	18	17
1	2	1156085699	1156085699	19	26
1	2	1156085716	1156085726	20	17
1	2	1156085793	1156085825	21	67
1	2	1156085961	1156085961	22	136
1	2	1156086029	1156086029	23	68
1	2	1156086045	1156086057	24	16
1	2	1156086075	1156086075	25	18
1	2	1156086177	1156086177	26	102
1	2	1156086224	1156086224	27	47
1	2	1156086298	1156086298	28	74
1	2	1156086311	1156086324	29	13
1	2	1156086325	1156086325	30	1
1	2	1156086387	1156086388	31	62
1	2	1156086407	1156086407	32	19
1	2	1156086420	1156086420	33	13
1	2	1156086448	1156086448	34	28
1	2	1156086487	1156086496	35	39
1	2	1156086664	1156086688	36	168
1	2	1156086714	1156086714	37	26
1	2	1156086735	1156086735	38	21
1	2	1156086741	1156086759	39	6
1	2	1156086762	1156086779	40	3
1	2	1156086812	1156086856	41	33
1	2	1156086877	1156086877	42	21
1	2	1156086884	1156086898	43	7
1	2	1156086909	1156086909	44	11
1	2	1156086916	1156086916	45	7
1	2	1156086930	1156086930	46	14
1	2	1156086955	1156086955	47	25
1	2	1156087598	1156087605	48	643
1	2	1156087624	1156087637	49	19
1	2	1156087660	1156087678	50	23
1	2	1156089459	1156089459	51	1781
1	2	1156089463	1156089463	52	4
1	2	1156089488	1156089488	53	25
1	2	1156089518	1156089518	54	30
1	2	1156089548	1156089548	55	30
1	2	1156089552	1156089552	56	4
1	2	1156089595	1156089606	57	43
1	2	1156091562	1156091562	58	1956
1	2	1156091564	1156091564	59	2
1	2	1156091731	1156091731	60	167
1	2	1156091733	1156091752	61	2
1	2	1156091766	1156091778	62	14
1	2	1156091787	1156091787	63	9
1	2	1156091809	1156091847	64	22
1	2	1156091874	1156091874	65	27
1	2	1156091885	1156091885	66	11
1	2	1156091919	1156091932	67	34
1	2	1156091974	1156091974	68	42
1	2	1156092016	1156092016	69	42
1	2	1156092060	1156092071	70	44
1	2	1156092099	1156092099	71	28
1	2	1156092143	1156092143	72	44
1	2	1156092148	1156092148	73	5
1	2	1156092432	1156092432	74	284
1	3	1156084911	1156084911	1	0
1	3	1156084920	1156084950	2	9
1	3	1156084987	1156084997	3	37
1	3	1156085035	1156085035	4	38
1	3	1156085041	1156085043	5	6
1	3	1156085064	1156085075	6	21
1	3	1156085077	1156085077	7	2
1	3	1156085165	1156085165	8	88
1	3	1156085288	1156085288	9	123
1	3	1156086153	1156086153	10	865
1	3	1156086165	1156086165	11	12
1	3	1156086189	1156086189	12	24
1	3	1156086951	1156086951	13	762
1	3	1156086953	1156086971	14	2
1	3	1156087036	1156087036	15	65
1	3	1156087049	1156087049	16	13
1	3	1156087384	1156087384	17	335
1	3	1156087387	1156087387	18	3
1	3	1156087429	1156087429	19	42
1	3	1156087476	1156087476	20	47
1	3	1156087501	1156087501	21	25
1	3	1156087567	1156087567	22	66
1	3	1156088764	1156088764	23	1197
1	3	1156088794	1156088794	24	30
1	3	1156088796	1156088813	25	2
1	3	1156088820	1156088849	26	7
1	3	1156088874	1156088874	27	25
1	3	1156088919	1156088934	28	45
1	3	1156089369	1156089369	29	435
1	3	1156089463	1156089463	30	94
1	3	1156089488	1156089533	31	25
1	3	1156089535	1156089552	32	2
1	3	1156089563	1156089563	33	11
1	3	1156089588	1156089588	34	25
1	3	1156089601	1156089601	35	13
1	3	1156089607	1156089607	36	6
1	3	1156089697	1156089725	37	90
1	3	1156089775	1156089775	38	50
1	3	1156089792	1156089792	39	17
1	3	1156089818	1156089818	40	26
1	3	1156090316	1156090316	41	498
1	3	1156090533	1156090533	42	217
1	3	1156090565	1156090581	43	32
1	3	1156090583	1156090641	44	2
1	3	1156090804	1156090804	45	163
1	3	1156090855	1156090855	46	51
1	3	1156090888	1156090901	47	33
1	3	1156090929	1156090929	48	28
1	3	1156090967	1156090967	49	38
1	3	1156090983	1156090983	50	16
1	3	1156091109	1156091122	51	126
1	3	1156091243	1156091243	52	121
1	3	1156091247	1156091265	53	4
1	3	1156091305	1156091305	54	40
1	3	1156091346	1156091376	55	41
1	3	1156091412	1156091412	56	36
1	3	1156091441	1156091441	57	29
1	3	1156092705	1156092705	58	1264
1	3	1156092739	1156092739	59	34
1	3	1156093001	1156093001	60	262
1	3	1156093024	1156093024	61	23
1	4	1156086916	1156086916	1	0
1	4	1156087748	1156087765	2	832
1	4	1156087778	1156087809	3	13
1	4	1156087874	1156087889	4	65
1	4	1156087907	1156087909	5	18
1	4	1156088142	1156088142	6	233
1	4	1156088146	1156088146	7	4
1	4	1156088170	1156088170	8	24
1	4	1156088181	1156088207	9	11
1	4	1156088278	1156088278	10	71
1	4	1156088298	1156088298	11	20
1	4	1156088322	1156088322	12	24
1	4	1156088331	1156088331	13	9
1	4	1156088356	1156088356	14	25
1	4	1156088369	1156088369	15	13
1	4	1156088371	1156088371	16	2
1	4	1156088390	1156088390	17	19
1	4	1156088407	1156088474	18	17
1	4	1156088475	1156088496	19	1
1	4	1156088531	1156088531	20	35
